origin,destination,sexo,flow
0312201,0311901,mujer,68.27624999999999
4601702,4613107,mujer,2.0
4624801,46007_AM,mujer,26.706
4622006,12140_AM,mujer,24.41975
03064,0306506,mujer,78.42924999999998
03023_AM,0305302,mujer,30.571749999999998
0306507,0300908,mujer,27.73575
0306605,0311902,mujer,11.15575
4625011,12012_AM,mujer,27.165
4607001,4625010,mujer,78.74475
0304701,0306304,mujer,47.2435
4617101,46205,mujer,20.634
4622005_AD,1207701,mujer,29.710499999999996
1204006,1208202,mujer,139.142
0305901,0313301,mujer,21.76725
0300905,0300906,mujer,393.16499999999996
4618402,0300905,mujer,21.34875
46118_AM,46084_AM,mujer,32.25
1204009,12034_AM,mujer,3.73625
46176,4608301,mujer,1.25
12124,1200901,mujer,20.25
46160_AM,46200_AM,mujer,6.5
46164,46014,mujer,347.54024999999996
46199,4617101,mujer,21.5
4614702,46011_AM,mujer,9.783249999999999
03055,0309903,hombre,17.25
0309901,0309903,hombre,803.20675
4607001,4625008,hombre,82.87974999999999
0306503,03105,hombre,22.135
46256,46164,hombre,10.053
46214_AM,46120_AM,hombre,29.483999999999998
0310402,03123_AM,hombre,220.807
4607802,46233,hombre,7.2989999999999995
4625013,4623803,hombre,17.513749999999998
4608301,46251_AM,hombre,5.2802500000000006
4601705,4615902,hombre,1.75
03002_AM,03088,hombre,375.05275
4601705,46223,hombre,10.46975
12140_AM,46139,hombre,1.0
4625001,12089,hombre,12.18875
46190,1204008,hombre,20.435
4603101,46029,hombre,62.960249999999995
1213504,1203203,hombre,312.66425
0308202,03138,hombre,19.5
4608304,46022_AM,hombre,19.5
0311301,03109,hombre,53.41725
0301401,46164,hombre,0.5
4624403,46136,hombre,34.35125000000001
46199,03092_AM,hombre,1.0
0313302,46063_AM,hombre,0.25
4615903,4608304,hombre,7.488250000000001
46035,46111,hombre,24.6785
03006_AM,03028_AM,hombre,2.25
03109,0309906,hombre,319.63425000000007
03140,0310401,hombre,24.6495
0306605,0301902,hombre,6.39225
46106_AM,4625013,hombre,13.215750000000002
12901,12028,hombre,26.709500000000002
0303102,03006_AM,hombre,9.649999999999999
46085,4601902,hombre,1485.4435000000003
03093,0306605,hombre,119.687
46032,46207,hombre,65.58125000000001
46179,46179,hombre,100.89750000000001
46132,4618402,hombre,25.944499999999998
4603101,46233,hombre,11.4155
12128_AM,1213504,hombre,45.76525
4625009,4617102,hombre,101.90974999999999
03074_AM,03055,hombre,73.648
4601702,46202,hombre,3.6490000000000005
46186,4600503,hombre,48.3215
46098,46139,hombre,11.75
03013_AM,0301903,hombre,10.75
46177_AM,1212602,hombre,6.75
46045_AM,4601701,hombre,4.75
46205,1204005,hombre,9.64
03023_AM,0310404,hombre,31.517249999999997
4625004,0307102,hombre,0.75
1204002,12136,hombre,5.61525
1208202,1200902,hombre,11.0595
03109,0309907,hombre,36.54725
46218_AM,4613105,hombre,85.33850000000001
46258,46077,hombre,4.5
46207,46054,hombre,9.964500000000001
46110,46223,hombre,71.46974999999999
4625016,46120_AM,hombre,24.069
12128_AM,12028,mujer,334.85575
4625012,46156,mujer,6.45475
4617101,4614702,mujer,30.981249999999996
03064,03114,hombre,0.75
03089,0305905,hombre,24.04575
4625010,46166,hombre,132.8735
46032,4624402,hombre,2.75
4623803,46081,hombre,4.75
03069,46181,hombre,3.43675
1204004,1204004,mujer,3584.772250000001
4622005_AD,46903,hombre,21.88775
4625019,4624402,hombre,59.14375000000001
46177_AM,4620401,hombre,214.17049999999998
4615903,4625007,mujer,349.9705000000001
46035,4625002,hombre,74.44975
0306504,0306506,hombre,3140.0387499999997
46116,4625014,mujer,88.83050000000001
4625010,4618403,hombre,17.8855
46214_AM,46903,mujer,720.58875
4624401,46007_AM,mujer,202.956
46191,4614702,hombre,317.881
4607002,4614702,mujer,263.3744999999999
46169,12106_AM,mujer,5.5295000000000005
0301406,0307902,hombre,29.925250000000005
46097_AM,46111,mujer,18.81475
46011_AM,4625007,hombre,26.8905
4624404,46021,mujer,1702.1767499999999
46094,4624403,hombre,383.04025000000007
4625009,4625015,mujer,598.8177499999999
0306302,0308203,hombre,335.81449999999995
