origin,destination,sexo,flow
03069,03048,mujer,148.0
4623501,4623501,mujer,1118.357
0301408,03056,mujer,44.09
46025,46074,mujer,77.0
0309902,0306502,mujer,15.936
46032,46009,mujer,150.677
46231_AM,4623501,hombre,4.0
12021,1208401,hombre,119.0
4625012,4615903,hombre,60.69300000000001
03118,0309904,hombre,38.867999999999995
03101,0304101,hombre,139.0
46231_AM,46173_AM,hombre,14.0
0307102,0304701,hombre,19.055999999999997
03076,0301501,hombre,519.3820000000001
03093,0311901,hombre,20.328
1208201,12053,hombre,148.727
1212602,12053,hombre,434.79600000000005
46237,4625015,mujer,2484.6949999999997
46035,4625019,mujer,467.02700000000004
46110,4625003,mujer,320.71599999999995
46177_AM,46178,mujer,375.027
46251_AM,46081,hombre,561.6110000000001
1204006,1204007,mujer,4533.833000000001
4625001,46102,mujer,98.53
4625002,4623502,hombre,6.18
4613106,46181,mujer,240.62800000000001
0311301,0306505,hombre,22.500000000000004
1213502,1212602,hombre,101.67699999999998
4615903,46111,hombre,976.1360000000002
03092_AM,03092_AM,hombre,4270.963
4625011,46143_AM,hombre,8.850999999999999
4601704,46029,hombre,2305.6989999999996
4625008,4624401,hombre,670.9370000000001
0302102,0302102,mujer,578.51
4623803,46105,mujer,657.63
46022_AM,4625010,mujer,1882.0669999999998
4613102,46055_AM,hombre,773.0740000000002
4625007,4607801,mujer,142.37299999999996
03076,0313303,mujer,1448.867
46109,4624802,hombre,49.594
4625015,4607001,hombre,67.68799999999999
46025,4620402,mujer,6.0
46160_AM,46150_AM,mujer,12.0
12106_AM,12012_AM,mujer,735.387
0305003,03089,mujer,5.0
4622003_AD,1204006,mujer,17.757
1204007,12129_AM,mujer,46.238
46193,4625015,mujer,28.849000000000004
46020,46257,mujer,120.049
46178,46120_AM,mujer,97.32000000000001
03088,0309002,mujer,29.917
1204001,1208401,mujer,12.0
4614701,4625006,mujer,12.0
12129_AM,1204006,mujer,44.861999999999995
0301401,0303104,mujer,31.096
0312101,03140,mujer,7.805
0301408,4625010,hombre,14.856
1207701,1208201,hombre,375.138
0302102,0300908,hombre,131.0
1204001,12902_AM,hombre,52.917
03005_AM,0306502,hombre,157.002
46135,46169,hombre,42.426
4620401,4620401,hombre,175.513
0303101,03105,hombre,1.0
12129_AM,12050_AM,hombre,171.021
46044,0306507,hombre,4.0
0300904,03035_AM,hombre,47.0
1212602,1208201,hombre,367.51800000000003
03128,0308201,hombre,166.98
1208401,1200502,hombre,92.0
1204007,12004,hombre,91.792
4617102,46178,hombre,722.6969999999999
4615901,4625012,hombre,55.912000000000006
03074_AM,0309904,hombre,181.668
4624404,46077,hombre,37.028
0300907,0300901,hombre,862.454
12104,12104,hombre,6407.2429999999995
46116,4614702,mujer,663.8320000000002
4600502,4615903,mujer,135.75
0306502,03024,mujer,11.879999999999999
4625014,4625002,hombre,570.688
4625008,4625009,hombre,10337.583999999999
0301406,0306505,hombre,79.419
46169,46110,hombre,4728.628
4625016,4625014,hombre,412.5
4625016,46102,hombre,197.39600000000002
46190,4625004,hombre,2715.117
4625007,46169,hombre,4993.312000000001
03094,03011,hombre,6455.464999999999
12033_AM,1204003,hombre,42.571
0306504,0305905,mujer,381.775
1204004,1204002,mujer,1566.674
4601703,4608302,mujer,44.397
1213502,12021,mujer,196.99
0300901,0300904,mujer,908.2409999999999
4608304,46020,mujer,4.0
03076,0309901,mujer,34.778999999999996
0307101,0301803,mujer,12.0
03002_AM,0310404,mujer,97.983
46214_AM,4601701,mujer,7.604
0300902,4618403,mujer,34.43900000000001
03074_AM,03074_AM,mujer,403.041
03089,0301406,mujer,45.942
4607802,46903,mujer,140.584
0311302,0301502,mujer,252.211
03083,03043,mujer,1.0
46207,46134,mujer,70.973
0300906,0307901,mujer,19.0
12021,1204009,mujer,55.65299999999999
46127_AM,4613101,mujer,89.71600000000001
46039,46081,mujer,56.626
12034_AM,12004,hombre,133.266
4625017,4607801,hombre,213.37900000000002
03092_AM,0305302,hombre,23.0
0301402,03076,hombre,50.43900000000001
0307101,03138,hombre,11.0
1204001,1204003,hombre,713.3879999999999
46207,46169,hombre,29.672
46098,46098,hombre,57.0
0300902,0300907,hombre,1659.045
0306303,0305001,hombre,5.6129999999999995
0310402,0306504,hombre,7.522
4615902,46021,hombre,248.821
0301403,0301904,hombre,35.076
03093,03088,mujer,3866.2070000000003
0306301,0308203,hombre,181.814
